Wall time,Step,Value
1684260483.330443,464,2.054185152053833
1684260484.0490193,474,2.063359260559082
1684260485.6344671,491,2.069225311279297
1684260485.8375413,493,2.068199396133423
1684260486.9617255,507,2.073477029800415
1684260487.3209846,512,2.0755774974823
1684260487.5477362,514,2.0775651931762695
1684260487.8315356,517,2.0779869556427
1684260488.4090514,525,2.0853569507598877
1684260488.8551583,531,2.088589668273926
1684260489.0582051,533,2.0889804363250732
1684260489.401867,536,2.0925073623657227
1684260489.8548846,542,2.096970796585083
1684260490.2245843,547,2.100449323654175
1684260491.1004684,557,2.108358144760132
1684260491.6173067,563,2.1139872074127197
1684260492.1145966,569,2.119948387145996
1684260492.3957806,573,2.1219594478607178
1684260492.8254483,579,2.1287600994110107
1684260492.9917445,581,2.130157232284546
1684260493.069813,582,2.1301968097686768
1684260493.1947818,584,2.1334805488586426
1684260493.3353765,586,2.1350951194763184
1684260493.413488,587,2.1350128650665283
1684260493.8437357,592,2.1390960216522217
1684260493.9218407,593,2.1401615142822266
1684260494.682386,602,2.148935317993164
1684260495.091584,608,2.1554884910583496
1684260495.235065,610,2.15871262550354
1684260495.6545405,615,2.1638529300689697
1684260496.0117939,620,2.1687474250793457
1684260496.2232409,622,2.169520378112793
1684260497.0795252,634,2.183126449584961
1684260497.582731,641,2.190416097640991
1684260497.6452463,642,2.190639019012451
1684260497.8014276,644,2.1937835216522217
1684260497.9420526,646,2.1956677436828613
1684260498.004503,647,2.195913076400757
1684260498.1606712,649,2.199110269546509
1684260499.0431964,661,2.213278293609619
1684260499.2543318,664,2.2170116901397705
1684260499.5511377,668,2.22119402885437
1684260499.7467053,671,2.2253992557525635
1684260499.974035,674,2.2297163009643555
1684260500.3434947,678,2.2331297397613525
1684260500.4372938,679,2.2351794242858887
1684260500.7459004,683,2.2397091388702393
1684260501.1131032,688,2.2451984882354736
1684260501.9341838,699,2.2594289779663086
1684260502.2447352,703,2.2630834579467773
1684260502.5048435,706,2.2680256366729736
1684260503.117737,714,2.2786178588867188
1684260503.4430172,718,2.2825658321380615
1684260503.7364502,721,2.286877155303955
1684260503.814553,722,2.2872538566589355
1684260503.8926563,723,2.288609504699707
1684260504.3769202,730,2.298463821411133
1684260504.8310735,736,2.3053359985351562
1684260504.9716468,738,2.307319402694702
1684260505.0497541,739,2.3095240592956543
1684260505.3389206,743,2.3134045600891113
1684260505.6357217,747,2.3181190490722656
1684260505.937994,751,2.3236303329467773
1684260506.0161016,752,2.324171781539917
1684260506.3469527,756,2.330022096633911
1684260507.130639,765,2.342068672180176
1684260507.422416,769,2.3465495109558105
1684260507.5004833,770,2.348090171813965
1684260507.5629704,771,2.3486578464508057
1684260507.7224925,773,2.3502933979034424
1684260507.8005655,774,2.3522846698760986
1684260508.2379625,780,2.359907388687134
1684260508.6169906,784,2.364993095397949
1684260508.6951008,785,2.3666439056396484
1684260508.8356898,787,2.3679213523864746
1684260508.9762802,789,2.3713297843933105
1684260509.212,792,2.374377727508545
1684260509.2901032,793,2.375922918319702
1684260509.3682084,794,2.3780722618103027
1684260509.4463181,795,2.379699945449829
1684260509.7299662,798,2.382803201675415
1684260510.0736368,802,2.387824773788452
1684260510.4529622,807,2.3943774700164795
1684260510.5582557,808,2.395838499069214
1684260510.667961,809,2.3977787494659424
1684260511.1751242,815,2.4056835174560547
1684260512.3652837,832,2.425802230834961
1684260512.6598668,836,2.4318490028381348
1684260512.847326,838,2.433960199356079
1684260513.3432014,843,2.440455198287964
1684260515.4449186,867,2.4713406562805176
1684260515.632331,869,2.474778890609741
1684260516.1742973,874,2.4812424182891846
1684260516.3885899,876,2.483859062194824
1684260516.8724253,880,2.4895544052124023
1684260517.124181,882,2.4908430576324463
1684260518.0583599,890,2.50283145904541
1684260518.6863961,896,2.5101234912872314
1684260519.3579705,900,2.5154929161071777
1684260520.2214477,907,2.523106813430786
1684260520.4689157,909,2.526561737060547
1684260521.1276345,915,2.534447431564331
1684260521.2838452,917,2.5360100269317627
1684260521.517773,920,2.540663242340088
1684260521.7677133,923,2.5438525676727295
1684260522.4191346,931,2.5550308227539062
1684260522.5128624,932,2.55578351020813
1684260522.7488215,935,2.5606086254119873
1684260523.2330835,942,2.564539670944214
1684260523.4227514,945,2.565227746963501
1684260524.0482383,954,2.570910930633545
1684260524.3318436,958,2.570457935333252
1684260524.5505428,961,2.5714855194091797
1684260524.6286483,962,2.571687698364258
1684260525.331638,971,2.579566478729248
1684260525.4034903,972,2.580483913421631
1684260525.6828191,976,2.5825443267822266
1684260525.8390357,978,2.5841078758239746
1684260525.9015195,979,2.584669828414917
1684260526.2139812,983,2.5887949466705322
1684260526.3076737,984,2.589125156402588
1684260526.53465,987,2.58990740776062
1684260526.6127956,988,2.589834451675415
1684260527.2453818,996,2.5930981636047363
1684260527.6202874,1000,2.594797134399414
1684260527.8182948,1002,2.596135377883911
1684260527.9911451,1004,2.5962491035461426
1684260528.1161096,1005,2.5965702533721924
1684260528.9135091,1014,2.5983896255493164
1684260529.1634452,1017,2.6002156734466553
1684260529.7739742,1025,2.602120876312256
1684260529.914527,1027,2.6019365787506104
1684260530.2581959,1032,2.6035947799682617
1684260530.6643496,1037,2.6060914993286133
1684260531.1654818,1044,2.6090891361236572
1684260532.0715177,1057,2.615473747253418
