Wall time,Step,Value
1682349351.4014163,18,1.8446894884109497
1682349351.448286,24,2.1626038551330566
1682349351.6679575,40,0.2051345407962799
1682349351.7056613,42,0.7405386567115784
1682349351.7369146,45,0.174952432513237
1682349351.8997138,56,0.04032684862613678
1682349352.1311443,71,0.28538668155670166
1682349352.1623864,74,0.24477171897888184
1682349352.3314984,94,0.18681040406227112
1682349352.4851656,106,0.11870000511407852
1682349352.7008958,126,0.12375300377607346
1682349353.0194259,155,0.08669232577085495
1682349353.0350454,158,0.20616501569747925
1682349353.1327868,167,0.1888497918844223
1682349353.3176823,183,0.12274007499217987
1682349353.3333347,185,0.07349161058664322
1682349353.887297,229,0.1629963368177414
1682349353.9497821,234,0.051472414284944534
1682349354.1187863,249,0.12195970863103867
1682349354.172154,255,0.11938902735710144
1682349354.2190254,260,0.07650338858366013
1682349354.2880292,267,0.1407753825187683
1682349354.348193,273,0.08856305480003357
1682349354.673032,308,0.01849934831261635
1682349354.6886606,310,0.031177835538983345
1682349354.8045363,318,0.028326379135251045
1682349354.9891458,339,0.018102625384926796
1682349355.1354542,347,0.041659604758024216
1682349355.415085,367,0.011123177595436573
1682349355.9146924,421,0.002506319200620055
1682349355.9146924,422,0.00448294822126627
1682349356.0774214,439,0.015157104469835758
1682349356.114775,442,0.01516946591436863
1682349356.175563,445,0.008627324365079403
1682349356.4972515,460,0.0044201333075761795
1682349356.5476172,463,0.019250400364398956
1682349356.5677185,464,0.008829872123897076
1682349356.7286692,474,0.00568593293428421
1682349357.0207615,493,0.0014188988134264946
1682349357.3303812,514,0.0029075914062559605
1682349357.5773816,531,0.0037421921733766794
1682349357.6486783,536,0.0050812168046832085
1682349358.0940306,563,0.00708683580160141
1682349358.2329445,573,0.001119372551329434
1682349358.3132806,579,0.005920993164181709
1682349358.413521,586,0.008916851133108139
1682349358.4291492,587,0.007676109671592712
1682349358.9269342,620,0.0025023045018315315
1682349358.9560697,622,0.0031554794404655695
1682349359.13405,634,0.001081001479178667
1682349359.2365844,641,0.001974951708689332
1682349359.2562122,642,0.0015651632566004992
1682349359.287462,644,0.0015758848749101162
1682349359.3187044,647,0.0029792101122438908
1682349359.3564548,649,0.0011154726380482316
1682349359.5078166,661,0.0035491250455379486
1682349359.6036234,671,0.008436908014118671
1682349360.039489,714,0.00513060949742794
1682349360.1578655,722,0.0055178748443722725
