Wall time,Step,Value
1681991753.1648014,18,0.5856671929359436
1681991753.3522563,42,0.3548147678375244
1681991753.3679113,45,0.25745803117752075
1681991753.570954,71,0.15038084983825684
1681991753.7428246,94,0.09669562429189682
1681991754.2305806,155,0.08245134353637695
1681991754.255682,158,0.20495083928108215
1681991754.3338258,167,0.12957733869552612
1681991754.8150074,229,0.03748705983161926
1681991754.8462498,234,0.058911606669425964
1681991755.0090845,255,0.1201029121875763
1681991755.1611733,273,0.034903813153505325
1681991755.4353232,308,0.015955211594700813
1681991755.450943,310,0.01988063007593155
1681991755.5399716,318,0.016742359846830368
1681991755.8055408,347,0.029997119680047035
1681991755.9929948,367,0.0328727662563324
1681991756.522722,421,0.043492309749126434
1681991756.9006374,460,0.03842027857899666
1681991757.0256145,474,0.011593575589358807
1681991757.6348443,536,0.011624392122030258
1681991757.884784,563,0.009323838166892529
1681991758.0253773,579,0.007001091726124287
1681991758.0878656,586,0.054107487201690674
1681991758.1034827,587,0.02439296431839466
1681991758.5755522,634,0.03647858649492264
1681991758.7005224,647,0.044498659670352936
1681991758.8254938,661,0.07801500707864761
1681991758.9269671,671,0.024385882541537285
1681991759.3279998,714,0.12270518392324448
1681991759.406107,722,0.07606327533721924
1681991759.827882,765,0.09116724878549576
1681991759.869485,769,0.08204878866672516
1681991759.8851068,771,0.032200898975133896
1681991760.0338383,785,0.0945432037115097
1681991760.0494633,787,0.03451978787779808
1681991760.1119452,794,0.019685987383127213
1681991760.1900518,802,0.023715849965810776
1681991760.2369153,808,0.03277718648314476
1681991760.5066438,836,0.007520728278905153
1681991761.5693343,945,0.06832491606473923
1681991761.8192716,971,0.008484901860356331
1681991761.8192716,972,0.025974299758672714
1681991761.8817563,978,0.0329773873090744
1681991761.944242,984,0.07529599219560623
1681991762.1179268,1002,0.06189461797475815
1681991762.1335492,1005,0.040045641362667084
1681991762.227277,1014,0.04944918304681778
1681991762.6959183,1063,0.12667882442474365
1681991762.7271585,1066,0.10528036952018738
1681991762.9858875,1093,0.02445669285953045
1681991763.0483725,1099,0.023791924118995667
1681991763.0952375,1104,0.05536329746246338
1681991763.6263626,1156,0.06967180967330933
1681991763.6888478,1161,0.05828096717596054
1681991763.7044685,1162,0.01771470345556736
1681991763.8606827,1180,0.040006835013628006
1681991763.9856534,1193,0.09020936489105225
1681991764.474017,1244,0.05587080866098404
1681991764.6458511,1261,0.013236895203590393
1681991765.167006,1316,0.017803668975830078
1681991765.1982496,1319,0.04414462298154831
1681991765.3232193,1333,0.018684271723031998
1681991765.3700833,1337,0.04393337666988373
1681991765.8387232,1385,0.06241370365023613
1681991765.916832,1392,0.03600127249956131
1681991766.1355302,1414,0.03518904745578766
1681991766.2470703,1426,0.014279289171099663
1681991766.3408012,1436,0.007653511129319668
1681991766.6532283,1466,0.016589883714914322
1681991766.7625778,1477,0.05130718648433685
1681991766.887549,1491,0.010455997660756111
1681991767.3098087,1523,0.04425390064716339
1681991767.6222353,1552,0.05538240075111389
1681991767.8019583,1568,0.03363693132996559
1681991768.036278,1584,0.04303108900785446
1681991768.0987637,1588,0.006686865352094173
1681991768.270598,1605,0.025226518511772156
1681991768.6298888,1640,0.009951004758477211
1681991769.0665472,1682,0.030203036963939667
1681991769.1602764,1691,0.01032013539224863
